season,week,posteam,total_plays,pass_plays,rush_plays,pass_pct,rush_pct,red_zone_pass_pct,deep_pass_pct,avg_air_yards,avg_yards_after_catch
2024,5,ATL,81,63,18,0.7777777777777778,0.2222222222222222,0.42857142857142855,NA,7.508474576271187,5.666666666666667
2024,5,BAL,77,43,34,0.5584415584415584,0.44155844155844154,0.5454545454545454,NA,9.095238095238095,6.384615384615385
2024,5,BUF,59,31,28,0.5254237288135594,0.4745762711864407,0.4444444444444444,NA,12.333333333333334,11.444444444444445
2024,5,CAR,58,39,19,0.6724137931034483,0.3275862068965517,0.7142857142857143,NA,7.742857142857143,3.3636363636363638
2024,5,CHI,70,31,39,0.44285714285714284,0.5571428571428572,0.3,NA,7.172413793103448,9.1
2024,5,CIN,66,42,24,0.6363636363636364,0.36363636363636365,0.4,NA,8.256410256410257,5.633333333333334
2024,5,CLE,59,36,23,0.6101694915254238,0.3898305084745763,0.625,NA,8.724137931034482,5.625
2024,5,DAL,75,44,31,0.5866666666666667,0.41333333333333333,0.5454545454545454,NA,7.095238095238095,5.793103448275862
2024,5,DEN,58,30,28,0.5172413793103449,0.4827586206896552,0.2222222222222222,NA,5.333333333333333,7.7368421052631575
2024,5,GB,58,28,30,0.4827586206896552,0.5172413793103449,0.3333333333333333,NA,8.038461538461538,8.2
2024,5,HOU,67,39,28,0.582089552238806,0.417910447761194,0,NA,6.342105263157895,6.464285714285714
2024,5,IND,69,49,20,0.7101449275362319,0.2898550724637681,0.5555555555555556,NA,7.622222222222222,4.617647058823529
2024,5,JAX,57,34,23,0.5964912280701754,0.40350877192982454,0.4444444444444444,0.08823529411764706,6.617647058823529,7.892857142857143
2024,5,KC,80,41,39,0.5125,0.4875,0.7058823529411765,NA,4.282051282051282,8.5
2024,5,LA,77,48,29,0.6233766233766234,0.37662337662337664,0.3076923076923077,NA,8.155555555555555,4.0344827586206895
2024,5,LV,66,40,26,0.6060606060606061,0.3939393939393939,0.625,NA,8.513513513513514,5.7272727272727275
2024,5,MIA,76,35,41,0.4605263157894737,0.5394736842105263,0.5555555555555556,NA,9.225806451612904,3.9444444444444446
2024,5,MIN,66,36,30,0.5454545454545454,0.45454545454545453,0,NA,13.21875,3.7333333333333334
2024,5,NE,55,36,19,0.6545454545454545,0.34545454545454546,0.8,NA,8.382352941176471,4.333333333333333
2024,5,NO,51,36,15,0.7058823529411765,0.29411764705882354,0.5,NA,11.542857142857143,2.75
2024,5,NYG,72,37,35,0.5138888888888888,0.4861111111111111,0.4666666666666667,NA,5.117647058823529,5.173913043478261
2024,5,NYJ,71,57,14,0.8028169014084507,0.19718309859154928,1,NA,7.592592592592593,4.241379310344827
2024,5,PIT,57,31,26,0.543859649122807,0.45614035087719296,0.75,NA,11.178571428571429,5
2024,5,SEA,58,47,11,0.8103448275862069,0.1896551724137931,1,NA,4.95,5.107142857142857
2024,5,SF,63,37,26,0.5873015873015873,0.4126984126984127,0.7142857142857143,NA,8.6,5.421052631578948
2024,5,TB,51,25,26,0.49019607843137253,0.5098039215686274,0.7,NA,5.041666666666667,5.894736842105263
2024,5,WAS,65,31,34,0.47692307692307695,0.5230769230769231,0.29411764705882354,NA,11.035714285714286,6
2024,6,ARI,55,32,23,0.5818181818181818,0.41818181818181815,0.5,0.0625,6,4.454545454545454
2024,6,ATL,69,30,39,0.43478260869565216,0.5652173913043478,0.3333333333333333,0,6.066666666666666,5.421052631578948
2024,6,BAL,65,28,37,0.4307692307692308,0.5692307692307692,0.46153846153846156,NA,9.884615384615385,7.45
2024,6,BUF,60,27,33,0.45,0.55,0.46153846153846156,NA,8.12,4.421052631578948
2024,6,CAR,62,38,24,0.6129032258064516,0.3870967741935484,0.6923076923076923,0.02631578947368421,6.815789473684211,2.8461538461538463
2024,6,CHI,61,32,29,0.5245901639344263,0.47540983606557374,0.75,NA,3.6551724137931036,6.434782608695652
2024,6,CIN,52,32,20,0.6153846153846154,0.38461538461538464,1,NA,5.571428571428571,5.315789473684211
2024,6,CLE,53,28,25,0.5283018867924528,0.4716981132075472,0.6,NA,5.6521739130434785,7.9375
2024,6,DAL,65,48,17,0.7384615384615385,0.26153846153846155,0.9,NA,7.318181818181818,4.24
2024,6,DEN,54,36,18,0.6666666666666666,0.3333333333333333,1,NA,10,3.4210526315789473
2024,6,DET,66,30,36,0.45454545454545453,0.5454545454545454,0.5,NA,9.851851851851851,9.473684210526315
2024,6,GB,70,32,38,0.45714285714285713,0.5428571428571428,0.6,0.0625,6.0625,6.2727272727272725
2024,6,HOU,62,34,28,0.5483870967741935,0.45161290322580644,0.45454545454545453,NA,8.28125,3.1
2024,6,IND,66,38,28,0.5757575757575758,0.42424242424242425,0.5714285714285714,0.21052631578947367,8.973684210526315,4.545454545454546
2024,6,JAX,61,41,20,0.6721311475409836,0.32786885245901637,0.7142857142857143,NA,8.5,5.041666666666667
2024,6,LAC,75,37,38,0.49333333333333335,0.5066666666666667,0.6666666666666666,NA,8.323529411764707,5.857142857142857
2024,6,LV,61,42,19,0.6885245901639344,0.3114754098360656,0.5454545454545454,NA,5.95,5.37037037037037
2024,6,NE,63,37,26,0.5873015873015873,0.4126984126984127,0.5,NA,6.96969696969697,6.55
2024,6,NO,66,45,21,0.6818181818181818,0.3181818181818182,0.5714285714285714,NA,8.15,4.954545454545454
2024,6,NYG,74,43,31,0.581081081081081,0.4189189189189189,0.5,NA,6.780487804878049,5.7727272727272725
2024,6,NYJ,59,38,21,0.6440677966101694,0.3559322033898305,0.8181818181818182,NA,7.3428571428571425,6
2024,6,PHI,62,26,36,0.41935483870967744,0.5806451612903226,0,NA,9.96,8.4375
2024,6,PIT,63,28,35,0.4444444444444444,0.5555555555555556,0.25,NA,9.458333333333334,3.142857142857143
2024,6,SEA,73,53,20,0.726027397260274,0.273972602739726,0.6666666666666666,NA,8.692307692307692,5.766666666666667
2024,6,SF,62,28,34,0.45161290322580644,0.5483870967741935,0.4,0.07142857142857142,7.428571428571429,7.055555555555555
2024,6,TB,73,38,35,0.5205479452054794,0.4794520547945205,0.35714285714285715,NA,6.055555555555555,10.208333333333334
2024,6,TEN,55,27,28,0.4909090909090909,0.509090909090909,0.3333333333333333,0.14814814814814814,9.11111111111111,2.125
2024,6,WAS,56,38,18,0.6785714285714286,0.32142857142857145,0.7692307692307693,NA,7.885714285714286,4.208333333333333
2024,7,ARI,55,26,29,0.4727272727272727,0.5272727272727272,0.2857142857142857,0,5.5,6.214285714285714
2024,7,ATL,71,39,32,0.5492957746478874,0.4507042253521127,0.3333333333333333,NA,7.277777777777778,4.52
2024,7,BAL,54,24,30,0.4444444444444444,0.5555555555555556,0.6666666666666666,NA,8.363636363636363,8.235294117647058
2024,7,BUF,54,34,20,0.6296296296296297,0.37037037037037035,0.5384615384615384,NA,9,8.19047619047619
