game_id,season,week,gameday,weekday,gametime,home_team,away_team,home_score,away_score,home_rest,away_rest,spread_line,total_line,over_odds,under_odds,home_moneyline,away_moneyline,roof,surface,temp,wind,stadium_id,game_date
2021_04_BAL_DEN,2021,4,2021-10-03,Sunday,16:25,DEN,BAL,7,23,7,7,1,44,-105,-106,-118,107,outdoors,grass ,77,11,DEN00,2021-10-03
2021_04_PIT_GB,2021,4,2021-10-03,Sunday,16:25,GB,PIT,27,17,7,7,6.5,45,-108,-103,-276,239,outdoors,grass ,67,4,GNB00,2021-10-03
2021_04_TB_NE,2021,4,2021-10-03,Sunday,20:20,NE,TB,17,19,7,7,-6,49.5,-101,-110,223,-255,outdoors,fieldturf,62,4,BOS00,2021-10-03
2021_04_LV_LAC,2021,4,2021-10-04,Monday,20:15,LAC,LV,28,14,8,8,3,52,-103,-108,-161,144,dome,matrixturf,NA,NA,LAX01,2021-10-04
2021_05_LA_SEA,2021,5,2021-10-07,Thursday,20:20,SEA,LA,17,26,4,4,-2.5,53.5,-105,-106,122,-135,outdoors,fieldturf,56,8,SEA00,2021-10-07
2021_05_NYJ_ATL,2021,5,2021-10-10,Sunday,09:30,ATL,NYJ,27,20,7,7,3,45.5,-113,102,-153,138,outdoors,grass,63,8,LON02,2021-10-10
2021_05_PHI_CAR,2021,5,2021-10-10,Sunday,13:00,CAR,PHI,18,21,7,7,2.5,46,-105,-106,-139,126,outdoors,grass ,76,13,CAR00,2021-10-10
2021_05_GB_CIN,2021,5,2021-10-10,Sunday,13:00,CIN,GB,22,25,10,7,-2,50,-104,-108,111,-123,outdoors,fieldturf,76,12,CIN00,2021-10-10
2021_05_NE_HOU,2021,5,2021-10-10,Sunday,13:00,HOU,NE,22,25,7,7,-8,39.5,101,-112,288,-339,closed,astroturf,NA,NA,HOU00,2021-10-10
2021_05_TEN_JAX,2021,5,2021-10-10,Sunday,13:00,JAX,TEN,19,37,10,7,-4,49,-109,-102,170,-191,outdoors,grass ,78,11,JAX00,2021-10-10
2021_05_DET_MIN,2021,5,2021-10-10,Sunday,13:00,MIN,DET,19,17,7,7,10,49.5,-113,102,-418,346,dome,sportturf,NA,NA,MIN01,2021-10-10
2021_05_DEN_PIT,2021,5,2021-10-10,Sunday,13:00,PIT,DEN,27,19,7,7,-2,40,-113,101,113,-124,outdoors,grass ,71,9,PIT00,2021-10-10
2021_05_MIA_TB,2021,5,2021-10-10,Sunday,13:00,TB,MIA,45,17,7,7,11,48,-107,-104,-564,448,outdoors,grass ,84,7,TAM00,2021-10-10
2021_05_NO_WAS,2021,5,2021-10-10,Sunday,13:00,WAS,NO,22,33,7,7,-2.5,43.5,-110,-101,117,-130,outdoors,grass ,70,12,WAS00,2021-10-10
2021_05_CLE_LAC,2021,5,2021-10-10,Sunday,16:05,LAC,CLE,47,42,6,7,2.5,46.5,-114,102,-129,117,dome,matrixturf,NA,NA,LAX01,2021-10-10
2021_05_CHI_LV,2021,5,2021-10-10,Sunday,16:05,LV,CHI,9,20,6,7,5.5,46,-101,-111,-245,215,dome,grass,NA,NA,VEG00,2021-10-10
2021_05_SF_ARI,2021,5,2021-10-10,Sunday,16:25,ARI,SF,17,10,7,7,6,48.5,-106,-105,-266,231,closed,grass ,NA,NA,PHO00,2021-10-10
2021_05_NYG_DAL,2021,5,2021-10-10,Sunday,16:25,DAL,NYG,44,20,7,7,7.5,53,-116,104,-335,285,closed,matrixturf,NA,NA,DAL00,2021-10-10
2021_05_BUF_KC,2021,5,2021-10-10,Sunday,20:20,KC,BUF,20,38,7,7,2.5,57,-114,103,-134,121,outdoors,grass ,76,0,KAN00,2021-10-10
2021_05_IND_BAL,2021,5,2021-10-11,Monday,20:15,BAL,IND,31,25,8,8,7.5,46.5,-108,-103,-356,301,outdoors,grass,69,6,BAL00,2021-10-11
2021_06_TB_PHI,2021,6,2021-10-14,Thursday,20:20,PHI,TB,22,28,4,4,-7,53,-104,-107,238,-274,outdoors,grass ,74,8,PHI00,2021-10-14
2021_06_MIA_JAX,2021,6,2021-10-17,Sunday,09:30,JAX,MIA,23,20,7,7,-2.5,47.5,-105,-107,110,-122,outdoors,grass,63,11,LON02,2021-10-17
2021_06_LAC_BAL,2021,6,2021-10-17,Sunday,13:00,BAL,LAC,34,6,6,7,3,50.5,-117,105,-166,149,outdoors,grass,63,15,BAL00,2021-10-17
2021_06_MIN_CAR,2021,6,2021-10-17,Sunday,13:00,CAR,MIN,28,34,7,7,-2.5,45.5,-101,-110,121,-134,outdoors,grass ,62,7,CAR00,2021-10-17
2021_06_GB_CHI,2021,6,2021-10-17,Sunday,13:00,CHI,GB,14,24,7,7,-5.5,44,-106,-105,201,-228,outdoors,grass ,59,6,CHI98,2021-10-17
2021_06_CIN_DET,2021,6,2021-10-17,Sunday,13:00,DET,CIN,11,34,7,7,-3.5,46.5,-101,-110,171,-192,dome,fieldturf,NA,NA,DET00,2021-10-17
2021_06_HOU_IND,2021,6,2021-10-17,Sunday,13:00,IND,HOU,31,3,6,7,10.5,43.5,-100,-111,-442,363,open,fieldturf,NA,NA,IND00,2021-10-17
2021_06_LA_NYG,2021,6,2021-10-17,Sunday,13:00,NYG,LA,11,38,7,10,-7.5,49.5,101,-113,280,-328,outdoors,fieldturf,61,13,NYC01,2021-10-17
2021_06_KC_WAS,2021,6,2021-10-17,Sunday,13:00,WAS,KC,13,31,7,7,-6,54,-105,-106,223,-255,outdoors,grass ,62,13,WAS00,2021-10-17
2021_06_ARI_CLE,2021,6,2021-10-17,Sunday,16:05,CLE,ARI,14,37,7,7,3,48,-114,102,-143,129,outdoors,grass ,58,23,CLE00,2021-10-17
2021_06_LV_DEN,2021,6,2021-10-17,Sunday,16:25,DEN,LV,24,34,7,7,5,45.5,-100,-111,-205,182,outdoors,grass ,76,8,DEN00,2021-10-17
2021_06_DAL_NE,2021,6,2021-10-17,Sunday,16:25,NE,DAL,29,35,7,7,-3.5,50.5,-105,-106,169,-189,outdoors,fieldturf,62,11,BOS00,2021-10-17
2021_06_SEA_PIT,2021,6,2021-10-17,Sunday,20:20,PIT,SEA,23,20,7,10,5.5,43,-107,-104,-213,189,outdoors,grass ,49,6,PIT00,2021-10-17
2021_06_BUF_TEN,2021,6,2021-10-18,Monday,20:15,TEN,BUF,34,31,8,8,-6,53.5,101,-113,210,-239,outdoors,grass ,66,6,NAS00,2021-10-18
2021_07_DEN_CLE,2021,7,2021-10-21,Thursday,20:20,CLE,DEN,17,14,4,4,2,40.5,-105,-106,-121,110,outdoors,grass ,59,27,CLE00,2021-10-21
2021_07_CIN_BAL,2021,7,2021-10-24,Sunday,13:00,BAL,CIN,17,41,7,7,6.5,45.5,-109,-102,-272,236,outdoors,grass,61,6,BAL00,2021-10-24
2021_07_WAS_GB,2021,7,2021-10-24,Sunday,13:00,GB,WAS,24,10,7,7,8.5,48,105,-117,-397,331,outdoors,grass ,49,11,GNB00,2021-10-24
2021_07_ATL_MIA,2021,7,2021-10-24,Sunday,13:00,MIA,ATL,28,30,7,14,-1.5,48.5,101,-113,117,-129,outdoors,grass ,85,9,MIA00,2021-10-24
2021_07_NYJ_NE,2021,7,2021-10-24,Sunday,13:00,NE,NYJ,54,13,7,14,7,43,100,-112,-303,261,outdoors,fieldturf,52,0,BOS00,2021-10-24
2021_07_CAR_NYG,2021,7,2021-10-24,Sunday,13:00,NYG,CAR,25,3,7,7,-3,42.5,-106,-105,139,-154,outdoors,fieldturf,57,0,NYC01,2021-10-24
2021_07_KC_TEN,2021,7,2021-10-24,Sunday,13:00,TEN,KC,27,3,6,7,-4,57.5,-101,-111,185,-209,outdoors,grass ,74,14,NAS00,2021-10-24
2021_07_DET_LA,2021,7,2021-10-24,Sunday,16:05,LA,DET,28,19,7,7,17,51,-101,-110,-1256,860,dome,matrixturf,NA,NA,LAX01,2021-10-24
2021_07_PHI_LV,2021,7,2021-10-24,Sunday,16:05,LV,PHI,33,22,7,10,1,48,-105,-106,-108,-102,dome,grass,NA,NA,VEG00,2021-10-24
2021_07_HOU_ARI,2021,7,2021-10-24,Sunday,16:25,ARI,HOU,31,5,7,7,20.5,47,-112,101,-1766,1119,closed,grass ,NA,NA,PHO00,2021-10-24
2021_07_CHI_TB,2021,7,2021-10-24,Sunday,16:25,TB,CHI,38,3,10,7,12.5,47,-101,-110,-644,501,outdoors,grass ,83,7,TAM00,2021-10-24
2021_07_IND_SF,2021,7,2021-10-24,Sunday,20:20,SF,IND,18,30,14,7,3.5,41.5,-110,-102,-169,152,outdoors,grass,64,16,SFO01,2021-10-24
2021_07_NO_SEA,2021,7,2021-10-25,Monday,20:15,SEA,NO,10,13,8,15,-6,42,-109,-102,208,-237,outdoors,fieldturf,54,16,SEA00,2021-10-25
2021_08_GB_ARI,2021,8,2021-10-28,Thursday,20:20,ARI,GB,21,24,4,4,6.5,51,-106,-105,-279,242,open,grass ,NA,NA,PHO00,2021-10-28
2021_08_CAR_ATL,2021,8,2021-10-31,Sunday,13:00,ATL,CAR,13,19,7,7,2.5,47,100,-111,-129,117,open,fieldturf,NA,NA,ATL97,2021-10-31
2021_08_MIA_BUF,2021,8,2021-10-31,Sunday,13:00,BUF,MIA,26,11,13,7,15,48.5,-108,-103,-983,709,outdoors,a_turf,54,9,BUF00,2021-10-31
2021_08_SF_CHI,2021,8,2021-10-31,Sunday,13:00,CHI,SF,22,33,7,7,-4.5,40,-114,102,186,-210,outdoors,grass ,53,12,CHI98,2021-10-31
2021_08_PIT_CLE,2021,8,2021-10-31,Sunday,13:00,CLE,PIT,10,15,10,14,5.5,43,-106,-105,-222,196,outdoors,grass ,57,13,CLE00,2021-10-31
2021_08_PHI_DET,2021,8,2021-10-31,Sunday,13:00,DET,PHI,6,44,7,7,-3,48.5,-101,-110,151,-168,dome,fieldturf,NA,NA,DET00,2021-10-31
2021_08_LA_HOU,2021,8,2021-10-31,Sunday,13:00,HOU,LA,22,38,7,7,-17,47,-103,-108,724,-1010,closed,astroturf,NA,NA,HOU00,2021-10-31
2021_08_TEN_IND,2021,8,2021-10-31,Sunday,13:00,IND,TEN,31,34,7,7,3,51,101,-112,-160,144,open,fieldturf,NA,NA,IND00,2021-10-31
2021_08_CIN_NYJ,2021,8,2021-10-31,Sunday,13:00,NYJ,CIN,34,31,7,7,-11.5,43.5,-102,-109,411,-510,outdoors,fieldturf,63,11,NYC01,2021-10-31
2021_08_NE_LAC,2021,8,2021-10-31,Sunday,16:05,LAC,NE,24,27,14,7,3.5,50.5,-105,-106,-183,163,dome,matrixturf,NA,NA,LAX01,2021-10-31
2021_08_JAX_SEA,2021,8,2021-10-31,Sunday,16:05,SEA,JAX,31,7,6,14,4,44,-111,-101,-192,171,outdoors,fieldturf,54,8,SEA00,2021-10-31
2021_08_WAS_DEN,2021,8,2021-10-31,Sunday,16:25,DEN,WAS,17,10,10,7,4,45,104,-116,-191,170,outdoors,grass ,41,4,DEN00,2021-10-31
2021_08_TB_NO,2021,8,2021-10-31,Sunday,16:25,NO,TB,36,27,6,7,-4,48.5,-102,-109,168,-188,dome,sportturf,NA,NA,NOR00,2021-10-31
2021_08_DAL_MIN,2021,8,2021-10-31,Sunday,20:20,MIN,DAL,16,20,14,14,4.5,49.5,-101,-110,-219,193,dome,sportturf,NA,NA,MIN01,2021-10-31
2021_08_NYG_KC,2021,8,2021-11-01,Monday,20:15,KC,NYG,20,17,8,8,10.5,53,-110,-101,-530,425,outdoors,grass ,39,4,KAN00,2021-11-01
2021_09_NYJ_IND,2021,9,2021-11-04,Thursday,20:20,IND,NYJ,45,30,4,4,10.5,46,-101,-111,-509,410,closed,fieldturf,NA,NA,IND00,2021-11-04
2021_09_MIN_BAL,2021,9,2021-11-07,Sunday,13:00,BAL,MIN,34,31,14,7,7.5,51,-102,-109,-305,262,outdoors,grass,56,8,BAL00,2021-11-07
2021_09_NE_CAR,2021,9,2021-11-07,Sunday,13:00,CAR,NE,6,24,7,7,-3.5,41.5,-111,100,157,-176,outdoors,grass ,61,16,CAR00,2021-11-07
2021_09_CLE_CIN,2021,9,2021-11-07,Sunday,13:00,CIN,CLE,16,41,7,7,2.5,47.5,-105,-106,-129,117,outdoors,fieldturf,56,0,CIN00,2021-11-07
2021_09_DEN_DAL,2021,9,2021-11-07,Sunday,13:00,DAL,DEN,16,30,7,7,10.5,50,-108,-103,-462,378,closed,matrixturf,NA,NA,DAL00,2021-11-07
2021_09_BUF_JAX,2021,9,2021-11-07,Sunday,13:00,JAX,BUF,9,6,7,7,-14.5,48,-108,-103,776,-1101,outdoors,grass ,59,16,JAX00,2021-11-07
2021_09_HOU_MIA,2021,9,2021-11-07,Sunday,13:00,MIA,HOU,17,9,7,7,4,45,-102,-109,-185,166,outdoors,grass ,72,19,MIA00,2021-11-07
2021_09_ATL_NO,2021,9,2021-11-07,Sunday,13:00,NO,ATL,25,27,7,7,7,43,-110,-101,-277,240,dome,sportturf,NA,NA,NOR00,2021-11-07
2021_09_LV_NYG,2021,9,2021-11-07,Sunday,13:00,NYG,LV,23,16,6,14,-3,47,-103,-108,137,-152,outdoors,fieldturf,54,4,NYC01,2021-11-07
2021_09_LAC_PHI,2021,9,2021-11-07,Sunday,16:05,PHI,LAC,24,27,7,7,-1,49.5,-106,-105,-104,-106,outdoors,grass ,54,11,PHI00,2021-11-07
2021_09_GB_KC,2021,9,2021-11-07,Sunday,16:25,KC,GB,13,7,6,10,7,48,-109,-102,-322,275,outdoors,grass ,51,12,KAN00,2021-11-07
2021_09_ARI_SF,2021,9,2021-11-07,Sunday,16:25,SF,ARI,17,31,7,10,5.5,44.5,-102,-109,-235,207,outdoors,grass,57,8,SFO01,2021-11-07
2021_09_TEN_LA,2021,9,2021-11-07,Sunday,20:20,LA,TEN,16,28,7,7,7,53.5,-100,-111,-350,296,dome,matrixturf,NA,NA,LAX01,2021-11-07
2021_09_CHI_PIT,2021,9,2021-11-08,Monday,20:15,PIT,CHI,29,27,8,8,7,40,-108,-103,-306,263,outdoors,grass ,55,7,PIT00,2021-11-08
2021_10_BAL_MIA,2021,10,2021-11-11,Thursday,20:20,MIA,BAL,22,10,4,4,-8.5,46.5,-105,-106,326,-390,outdoors,grass ,77,4,MIA00,2021-11-11
2021_10_ATL_DAL,2021,10,2021-11-14,Sunday,13:00,DAL,ATL,43,3,7,7,8,55,-103,-108,-392,328,closed,matrixturf,NA,NA,DAL00,2021-11-14
2021_10_JAX_IND,2021,10,2021-11-14,Sunday,13:00,IND,JAX,23,17,10,7,10.5,47.5,-103,-108,-434,358,closed,fieldturf,NA,NA,IND00,2021-11-14
2021_10_CLE_NE,2021,10,2021-11-14,Sunday,13:00,NE,CLE,45,7,7,7,2.5,45.5,-103,-108,-132,119,outdoors,fieldturf,48,6,BOS00,2021-11-14
2021_10_BUF_NYJ,2021,10,2021-11-14,Sunday,13:00,NYJ,BUF,17,45,10,7,-13,47,-116,104,527,-685,outdoors,fieldturf,47,4,NYC01,2021-11-14
2021_10_DET_PIT,2021,10,2021-11-14,Sunday,13:00,PIT,DET,16,16,6,14,9,43,102,-114,-359,303,outdoors,grass ,37,12,PIT00,2021-11-14
2021_10_NO_TEN,2021,10,2021-11-14,Sunday,13:00,TEN,NO,23,21,7,7,3,44,-102,-109,-147,133,outdoors,grass ,53,12,NAS00,2021-11-14
2021_10_TB_WAS,2021,10,2021-11-14,Sunday,13:00,WAS,TB,29,19,14,14,-10,51,-102,-109,359,-435,outdoors,grass ,47,8,WAS00,2021-11-14
2021_10_CAR_ARI,2021,10,2021-11-14,Sunday,16:05,ARI,CAR,10,34,7,7,7,42,101,-113,-329,280,closed,grass ,NA,NA,PHO00,2021-11-14
2021_10_MIN_LAC,2021,10,2021-11-14,Sunday,16:05,LAC,MIN,20,27,7,7,3,53.5,-107,-104,-179,160,dome,matrixturf,NA,NA,LAX01,2021-11-14
2021_10_PHI_DEN,2021,10,2021-11-14,Sunday,16:25,DEN,PHI,13,30,7,7,1,44.5,-108,-103,-111,101,outdoors,grass ,57,19,DEN00,2021-11-14
2021_10_SEA_GB,2021,10,2021-11-14,Sunday,16:25,GB,SEA,17,0,7,14,3,49.5,105,-117,-168,151,outdoors,grass ,35,11,GNB00,2021-11-14
2021_10_KC_LV,2021,10,2021-11-14,Sunday,20:20,LV,KC,14,41,7,7,-2.5,53.5,-103,-108,133,-147,dome,grass,NA,NA,VEG00,2021-11-14
